序號,地區別,縣市,觀光工廠名稱,地址
101,南部,嘉義縣,月桃故事館,嘉義市東區保忠一街359號
102,南部,嘉義縣,卡普秀醫美研發中心,嘉義縣民雄鄉民雄工業區成功五街3號
103,南部,嘉義縣,卡羅爾銅管樂器觀光工廠,嘉義縣大林鎮中坑里1鄰大埔美園區20路3號
104,南部,嘉義縣,民雄金桔觀光工廠,嘉義縣民雄鄉三興村陳厝寮7鄰38號
105,南部,嘉義縣,余順豐花生觀光工廠,嘉義縣東石鄉蔦松村湖底路20之28號
106,南部,嘉義縣,梅問屋梅子元氣館,嘉義縣梅山鄉中山路527號
107,南部,嘉義縣,臺灣菸酒股份有限公司嘉義觀光酒廠,嘉義縣民雄鄉福樂村中山路4號
108,南部,台南市,天一中藥生活化園區,台南市官田區二鎮里工業路31號
109,南部,台南市,卡多利亞良食故事館,台南市後壁區後壁里42-26號
110,南部,台南市,台灣金屬創意館,台南市永康區永科環路598號
111,南部,台南市,瓜瓜園地瓜生態故事館,台南市新化區中正路127巷31號
112,南部,台南市,立康中草藥產業文化館,台南市永康區環工路29號
113,南部,台南市,和明織品文化館,台南市七股區大埕里大埕189號(坤進廠)
114,南部,台南市,奇美食品幸福工廠,台南市仁德區機場路1008號
115,南部,台南市,彼緹娃藝術蛋糕觀光工廠,台南市佳里區民安里同安寮1之1號
116,南部,台南市,東和蜂文化觀光工廠,台南市東山區東正里1-18號
117,南部,台南市,美雅家具觀光工廠,台南市白河區甘宅里101-1號
118,南部,台南市,虹泰水凝膠世界,台南市仁德區中正路3段523巷116號
119,南部,台南市,國王家族羽絨服飾觀光工廠,台南市佳里區同安寮2-8號
120,南部,台南市,康那香不織布創意王國,台南市將軍區三吉里三吉66之1號
121,南部,台南市,港香蘭綠色健康知識館,台南市新市區南科一路1號
122,南部,台南市,華美光學eye玩視界,台南市安定區中沙里沙崙30號
123,南部,台南市,黑橋牌香腸博物館,台南市南區新忠路2號
124,南部,台南市,新百祿燕窩觀光工廠,台南市南區新和路38號
125,南部,台南市,腳的眼鏡足部科學體驗中心(紅崴觀光工廠),台南市安南區鹽田里工業一路23號1樓
126,南部,台南市,臺南．家具產業博物館,台南市仁德區二仁路１段315巷50號
127,南部,台南市,臺灣菸酒股份有限公司善化啤酒廠,台南市善化區成功路2號
128,南部,台南市,臺灣菸酒股份有限公司隆田觀光酒廠,台南市官田區中華路一段335號
129,南部,台南市,麗豐微酵館,台南市官田區二鎮里工業路48號
130,南部,高雄市,FLOMO富樂夢橡皮擦觀光工廠,高雄市湖內區中山路二段42號
131,南部,高雄市,台灣滷味博物館,高雄市岡山區本工一路25號
132,南部,高雄市,宏裕行花枝丸館,高雄市前鎮區新生路240號
133,南部,高雄市,珍芳烏魚子見學工廠,高雄市前鎮區新衙路296巷81弄13號
134,南部,高雄市,紅頂穀創穀物文創樂園,高雄市左營區民族一路709號
135,南部,高雄市,彪琥台灣鞋故事館,高雄市三民區民族一路335巷43-1號
136,南部,高雄市,裕賀牛??工廠,高雄市燕巢區大仁路68號
137,南部,屏東縣,天明製藥農科觀光藥廠,屏東縣長治鄉德和村神農路3號
138,南部,屏東縣,萬寶祿酵素品牌文化館,屏東縣長治鄉德和村神農路17號
139,南部,屏東縣,臺灣菸酒股份有限公司屏東觀光酒廠,屏東縣內埔鄉建國路34號
140,南部,屏東縣,鮮饌道海洋食品文化館,屏東縣林邊鄉成功路122號
