序號,地區別,縣市,觀光工廠名稱,地址
108,南部,台南市,天一中藥生活化園區,台南市官田區二鎮里工業路31號
109,南部,台南市,卡多利亞良食故事館,台南市後壁區後壁里42-26號
110,南部,台南市,台灣金屬創意館,台南市永康區永科環路598號
111,南部,台南市,瓜瓜園地瓜生態故事館,台南市新化區中正路127巷31號
112,南部,台南市,立康中草藥產業文化館,台南市永康區環工路29號
113,南部,台南市,和明織品文化館,台南市七股區大埕里大埕189號(坤進廠)
114,南部,台南市,奇美食品幸福工廠,台南市仁德區機場路1008號
115,南部,台南市,彼緹娃藝術蛋糕觀光工廠,台南市佳里區民安里同安寮1之1號
116,南部,台南市,東和蜂文化觀光工廠,台南市東山區東正里1-18號
117,南部,台南市,美雅家具觀光工廠,台南市白河區甘宅里101-1號
118,南部,台南市,虹泰水凝膠世界,台南市仁德區中正路3段523巷116號
119,南部,台南市,國王家族羽絨服飾觀光工廠,台南市佳里區同安寮2-8號
120,南部,台南市,康那香不織布創意王國,台南市將軍區三吉里三吉66之1號
121,南部,台南市,港香蘭綠色健康知識館,台南市新市區南科一路1號
122,南部,台南市,華美光學eye玩視界,台南市安定區中沙里沙崙30號
123,南部,台南市,黑橋牌香腸博物館,台南市南區新忠路2號
124,南部,台南市,新百祿燕窩觀光工廠,台南市南區新和路38號
125,南部,台南市,腳的眼鏡足部科學體驗中心(紅崴觀光工廠),台南市安南區鹽田里工業一路23號1樓
126,南部,台南市,臺南．家具產業博物館,台南市仁德區二仁路１段315巷50號
127,南部,台南市,臺灣菸酒股份有限公司善化啤酒廠,台南市善化區成功路2號
128,南部,台南市,臺灣菸酒股份有限公司隆田觀光酒廠,台南市官田區中華路一段335號
129,南部,台南市,麗豐微酵館,台南市官田區二鎮里工業路48號
