股票代號,股票名稱,收盤價,月平均價
"0050","元大台灣50","98.85","99.29"
"0051","元大中型100","50.40","50.12"
"0052","富邦科技","82.55","83.04"
"0053","元大電子","48.65","48.80"
"0055","元大MSCI金融","20.91","20.86"
"0056","元大高股息","23.64","23.61"
"0057","富邦摩台","70.60","70.95"
"0061","元大寶滬深","17.93","17.34"
"006203","元大MSCI台灣","48.02","48.26"
"006204","永豐臺灣加權","65.00","65.16"
"006205","富邦上証","30.02","29.17"
"006206","元大上證50","28.18","27.33"
"006207","FH滬深","23.72","22.93"
"006208","富邦台50","56.90","57.11"
"00631L","元大台灣50正2","77.95","78.08"
"00632R","元大台灣50反1","6.52","6.53"
"00633L","富邦上証正2","35.42","33.47"
"00634R","富邦上証反1","4.95","5.11"
"00635U","期元大S&P黃金","21.51","21.50"
"00636","國泰中國A50","19.92","19.29"
"00636K","國泰中國A50+U","6.12","5.94"
"00637L","元大滬深300正2","13.92","13.16"
"00638R","元大滬深300反1","10.67","10.99"
"00639","富邦深100","12.45","12.01"
"00640L","富邦日本正2","27.54","27.88"
"00641R","富邦日本反1","9.87","9.82"
"00642U","期元大S&P石油","19.30","19.11"
"00643","群益深証中小","15.31","14.71"
"00645","富邦日本","25.62","25.72"
"00646","元大S&P500","37.10","37.91"
"00647L","元大S&P500正2","48.52","50.80"
"00648R","元大S&P500反1","7.99","7.81"
"00650L","FH香港正2","9.81","9.11"
"00651R","FH香港反1","10.59","11.09"
"00652","富邦印度","30.92","31.09"
"00653L","富邦印度正2","47.04","47.40"
"00654R","富邦印度反1","7.93","7.91"
"00655L","國泰中國A50正2","24.66","23.30"
"00656R","國泰中國A50反1","9.40","9.69"
"00657","國泰日經225","31.62","31.96"
"00657K","國泰日經225+U","9.80","9.91"
"00660","元大歐洲50","26.46","26.66"
"00661","元大日經225","","34.83"
"00662","富邦NASDAQ","44.57","46.16"
"00663L","國泰臺灣加權正2","71.95","72.00"
"00664R","國泰臺灣加權反1","7.37","7.37"
"00665L","富邦恒生國企正2","6.33","5.80"
"00666R","富邦恒生國企反1","18.69","19.72"
"00668","國泰美國道瓊","37.32","37.83"
"00668K","國泰美國道瓊+U","11.56","11.73"
"00669R","國泰美國道瓊反1","8.41","8.32"
"00670L","富邦NASDAQ正2","48.85","52.10"
"00671R","富邦NASDAQ反1","6.80","6.59"
"00673R","期元大S&P原油反1","8.13","8.19"
"00674R","期元大S&P黃金反1","14.39","14.38"
"00675L","富邦臺灣加權正2","31.42","31.41"
"00676R","富邦臺灣加權反1","4.04","4.04"
"00678","群益NBI生技","26.68","26.84"
"00680L","元大美債20正2","10.33","10.50"
"00681R","元大美債20反1","20.12","20.00"
"00682U","期元大美元指數","22.39","22.25"
"00683L","期元大美元指正2","25.55","25.25"
"00684R","期元大美元指反1","14.95","15.04"
"00685L","群益臺灣加權正2","27.85","27.86"
"00686R","群益臺灣加權反1","4.39","4.38"
"00688L","國泰20年美債正2","10.25","10.40"
"00689R","國泰20年美債反1","20.90","20.76"
"00690","兆豐藍籌30","24.89","24.92"
"00692","富邦公司治理","24.93","25.01"
"00693U","期街口S&P黃豆","26.24","26.14"
"00700","富邦恒生國企","11.12","10.63"
"00701","國泰股利精選30","21.39","21.45"
"00702","國泰標普低波高息","21.80","22.02"
"00703","台新MSCI中國","13.71","13.05"
"00706L","期元大S&P日圓正2","8.49","8.51"
"00707R","期元大S&P日圓反1","26.50","26.47"
"00708L","期元大S&P黃金正2","20.83","20.78"
"00709","富邦歐洲","21.06","21.30"
"00710B","FH彭博非投等債","18.37","18.45"
"00711B","FH彭博新興債","15.20","15.27"
"00712","FH富時不動產","9.96","10.19"
"00713","元大台灣高息低波","36.52","36.49"
"00714","群益道瓊美國地產","18.68","18.96"
"00715L","期街口布蘭特正2","20.60","20.21"
"00717","富邦美國特別股","14.66","14.76"
"00728","第一金工業30","19.95","19.97"
"00730","富邦臺灣優質高息","15.28","15.25"
"00731","FH富時高息低波","53.65","53.50"
"00732","國泰RMB短期報酬","40.87","40.78"
"00733","富邦臺灣中小","31.68","31.05"
"00735","國泰臺韓科技","22.75","22.84"
"00736","國泰新興市場","18.16","17.99"
"00737","國泰AI+Robo","24.33","24.98"
"00738U","期元大道瓊白銀","20.03","19.84"
"00739","元大MSCI A股","22.63","21.84"
"00752","中信中國50","15.54","14.69"
"00753L","中信中國50正2","8.31","7.55"
"00757","統一FANG+","33.44","34.04"
"00762","元大全球AI","29.31","29.91"
"00763U","期街口道瓊銅","22.61","22.46"
"00770","國泰北美科技","27.00","28.17"
"00771","元大US高息特別股","16.65","16.75"
"00774B","新光中國政金綠債","41.05","40.95"
"00775B","新光投等債15+","32.37","32.57"
"00783","富邦中証500","20.85","20.28"
"00830","國泰費城半導體","21.84","22.24"
"00850","元大臺灣ESG永續","27.10","27.14"
"00851","台新全球AI","22.06","22.81"
"00852L","國泰美國道瓊正2","18.55","19.03"
"00861","元大全球未來通訊","25.09","25.59"
"00865B","國泰US短期公債","42.00","41.99"
"00875","國泰網路資安","25.66","26.61"
"00876","元大全球5G","23.08","23.40"
"00878","國泰永續高股息","15.84","15.81"
"00881","國泰台灣5G+","12.58","12.59"
"00882","中信中國高股息","10.43","10.16"
"00885","富邦越南","11.19","11.42"
"00891","中信關鍵半導體","9.98","9.92"
"00892","富邦台灣半導體","9.15","9.09"
"00893","國泰智能電動車","11.65","11.61"
"00894","中信小資高價30","10.34","10.29"
"00895","富邦未來車","12.80","12.87"
"00896","中信綠能及電動車","12.16","12.16"
"00897","富邦基因免疫生技","9.18","9.29"
"00898","國泰基因免疫革命","7.65","7.73"
"00899","FT潔淨能源","22.45","22.25"
"00900","富邦特選高股息30","10.04","9.97"
"00901","永豐智能車供應鏈","11.05","11.05"
"00902","中信電池及儲能","14.11","13.77"
"00903","富邦元宇宙","8.38","8.61"
"00904","新光臺灣半導體30","9.30","9.28"
"00905","FT臺灣Smart","7.70","7.70"
"00906","大華元宇宙科技50","8.64","8.74"
"00907","永豐優息存股","13.38","13.39"
"00908","富邦入息REITs+","13.15","13.32"
"00909","國泰數位支付服務","15.84","16.44"
"00910","第一金太空衛星","14.99","15.14"
"00911","兆豐洲際半導體","13.88","14.13"
"00912","中信臺灣智慧50","12.22","12.20"
"00913","兆豐台灣晶圓製造","12.69","12.65"
"00915","凱基優選高股息30","14.08","14.03"
"00916","國泰全球品牌50","14.48","14.95"
"00917","中信特選金融","14.71","14.82"
"00919","群益台灣精選高息","15.01","14.98"
"00920","富邦ESG綠色電力","16.26","16.23"
"01001T","土銀富邦R1","16.63","16.71"
"01002T","土銀國泰R1","17.86","18.00"
"01003T","兆豐新光R1","21.06","21.20"
"01007T","兆豐國泰R2","18.64","18.65"
"01009T","王道圓滿R1","8.30","8.42"
"01010T","京城樂富R1","9.92","9.92"
"020002","元富新中國N","11.47","11.05"
"020011","統一微波高息20N","","6.54"
"020016","統一MSCI美科技N","14.90","15.62"
"020018","統一價值成長30N","","12.90"
"020019","統一特選台灣5GN","10.35","10.42"
"02001L","富邦蘋果正二N","7.17","7.15"
"02001R","富邦蘋果反一N","3.40","3.40"
"020020","元大台股領航N","5.73","5.72"
"020022","元大電動車N","4.95","4.96"
"020028","元大特選電動車N","4.79","4.78"
"020029","元大ESG高股息N","4.05","4.06"
"020030","統一智慧電動車N","3.47","3.46"
"020031","統一IC設計臺灣N","2.92","2.89"
"020032","元大綠能N","4.34","4.31"
"020034","元大IC設計N","3.55","3.51"
"03001P","臺股指群益23售16","2.76","2.81"
"03002P","長榮元大24售32","2.06","2.15"
"03003P","臺股指群益23售17","5.50","5.47"
"03007P","鴻海元大23售17","1.42","1.38"
"03007X","元展07","","24.00"
"03008P","台積電元大23售66","6.70","6.34"
"03009P","華邦電元大23售02","1.53","1.60"
"03010P","華航元大23售11","","3.84"
"03011P","中信金元大23售02","1.04","1.06"
"03012P","奇鋐元大23售07","0.81","0.84"
"03012X","元展12","13.00","12.70"
"03013X","元展13","","14.20"
"03014P","祥碩元大23售05","3.02","3.03"
"03015P","愛普元大25售01","0.66","0.71"
"03016P","力積電元大23售12","","1.15"
"03017P","南電元大23售28","2.03","2.04"
"03017X","元展17","8.00","7.94"
"03018P","臺股指法興23售05","11.20","10.59"
"03019P","長榮元大24售33","","2.29"
"03020P","臺股指法興23售06","7.30","7.17"
"03022P","陽明元大24售15","","2.01"
"03022X","富展01","26.40","26.40"
"03024P","臺股指法興23售09","","8.30"
"03025P","儒鴻富邦23售01","0.62","0.61"
"03026P","鴻海富邦23售03","1.04","1.01"
"03026X","元展23","4.37","4.37"
"03027P","大立光富邦28售02","0.92","0.95"
"03029P","元黃金群益23售01","0.99","1.00"
"03030Q","恒指麥證1C售04","","3.99"
"03031P","華通群益23售02","0.68","0.68"
"03031Q","恒指麥證23售02","2.72","3.24"
"03032P","可成群益23售04","0.59","0.60"
"03032Q","恒指麥證26售02","4.05","4.61"
"03033P","宏達電群益23售07","2.20","2.48"
"03033Q","恒指麥證24售02","1.80","1.80"
"03034P","世芯群益23售04","","3.30"
